AppID,Genres,total_review_num,total_pos_num,total_neg_num
1683240,"Adventure,Indie",8,8,0
567150,Casual,29,21,8
700880,Adventure,1,1,0
1413090,"Action,Indie",17,17,0
1610860,"Action,Casual,Indie,Simulation",9,9,0
1302840,"Adventure,Casual,Indie,Strategy,Education",3,3,0
1305570,"Casual,Indie",11,5,6
1609730,"Action,Early Access",82,79,3
717980,"Adventure,Indie,RPG",0,0,0
1417450,"Action,Casual,Indie,Early Access",0,0,0
778900,"Action,Adventure,Casual,Indie",0,0,0
1004200,"Indie,Racing,Simulation,Sports",4,3,1
1506230,"Action,Adventure,Indie",42,32,10
638230,"Adventure,Indie",7150,6620,530
1839080,"Action,Adventure,Casual,Indie,Racing",13,13,0
907460,"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy",6,2,4
1307070,Casual,24,24,0
1221640,"Casual,Indie",31,30,1
703120,"Action,Casual,Indie,Simulation",5,3,2
328710,"Action,Adventure,Indie,Early Access",43,22,21
926140,"Adventure,Casual,Indie,RPG,Simulation,Strategy",1065,997,68
1700630,"Adventure,Indie,Simulation,Strategy,Early Access",0,0,0
845290,"Action,Adventure,Casual,Indie",3,1,2
739720,"Action,Adventure,Indie,RPG,Strategy,Early Access",32,30,2
1776800,"Action,Casual,Indie",2,2,0
873970,Simulation,22,10,12
1238130,"Adventure,Casual,Indie,RPG",0,0,0
1593100,"Action,Indie",2,1,1
1365900,"Casual,Indie",7,6,1
962950,Indie,0,0,0
778120,"Action,Indie,Simulation",2,1,1
1187910,"Action,Indie,RPG",0,0,0
763350,"Action,Casual,Indie,Sports",3,3,0
1537410,Racing,1,1,0
761910,"Action,Indie,Strategy",262,233,29
975470,"Adventure,Indie",103,65,38
990900,"Indie,Simulation,Early Access",15,15,0
372770,"Action,Indie,RPG",6,4,2
462580,"Casual,Simulation,Strategy",7,5,2
926870,"Action,Indie,Early Access",0,0,0
848720,"Action,Indie",0,0,0
1343040,"Casual,Free to Play,Sports,Strategy",0,0,0
519140,"Action,Adventure,Free to Play,Indie",18,15,3
1987030,"Adventure,Indie,RPG",2,2,0
821260,"Action,Indie",1,0,1
1565720,"Adventure,Indie,Simulation,Strategy",4,4,0
748490,RPG,1380,1313,67
545000,Strategy,0,0,0
1623720,"Casual,Indie",0,0,0
544220,"Sexual Content,Nudity,Violent,Gore,Action,Adventure,Indie,Early Access",12,4,8
338190,"Action,Adventure,Casual,Indie,Racing",107,94,13
1375270,"Adventure,Indie",6,6,0
551680,"Adventure,Indie",4,3,1
1874510,"Action,Adventure,Casual,Indie,RPG,Early Access",0,0,0
1693780,"Action,Casual,Indie,Strategy",16,7,9
1466930,"Action,Casual,Massively Multiplayer",16,7,9
1748070,"Casual,Indie",0,0,0
1755120,"Action,Adventure,Free to Play,Massively Multiplayer,RPG",0,0,0
964920,"Adventure,Casual,Indie,Simulation,Strategy",2,0,2
1085570,"Action,Adventure,Indie,RPG",1,1,0
1528020,"Action,Adventure,Early Access",35,29,6
1796350,"Action,Massively Multiplayer,Sports,Early Access",1,0,1
1444320,"Action,Adventure,Simulation,Early Access",17,16,1
906050,"Casual,Indie",115,84,31
351910,"Indie,Simulation,Strategy",204,108,96
513480,"Adventure,Indie,Simulation",78,69,9
2010700,"Action,Adventure,Casual,Indie,RPG",22,14,8
1089830,"Racing,Simulation,Sports",514,442,72
403070,"Adventure,Indie",36,30,6
811440,"Adventure,Indie,Strategy",1,1,0
491010,"Action,Adventure,Indie",27,20,7
681290,"Action,Casual,Indie,Racing",3,3,0
1233460,"Action,Casual,Racing",1,1,0
350530,Simulation,46,16,30
2026860,"Design & Illustration,Education",0,0,0
1481840,"Action,Adventure,Casual,Indie,Sports",3,3,0
1444890,"Action,Casual,Indie",8,7,1
1217340,"Casual,Indie,Simulation,Strategy",11,6,5
872340,"Sexual Content,Violent,Action,Adventure,Indie",0,0,0
523680,"Action,Adventure,Indie,Strategy",6,6,0
439460,"Indie,Simulation",64,26,38
1308880,"Action,Adventure,Indie",22,15,7
296650,"Action,Casual,Indie,Strategy",3,3,0
1549420,"Adventure,Indie",3,3,0
418270,"Action,Adventure,Indie",31,22,9
390220,"Indie,Simulation",40,25,15
549860,"Adventure,Casual,Indie,Simulation",318,281,37
612380,"Casual,Indie,Strategy",2,1,1
1559340,"Adventure,Casual,Indie,Strategy",0,0,0
1632640,"Adventure,Casual,Indie,Simulation",4,4,0
350480,"Adventure,Indie",20,14,6
220900,"Action,Casual,Indie,Strategy",18,15,3
1768260,"Action,Casual",0,0,0
539090,"Simulation,Sports",16,12,4
908500,"Adventure,Casual,Indie,Strategy",0,0,0
1852760,"Casual,Indie",1,0,1
809890,"Adventure,RPG",307,222,85
570770,RPG,49,40,9
448500,"Action,Adventure,Casual,Indie",16,15,1
854160,"Adventure,Indie",11,0,11
1359170,"Action,Indie",3,3,0
897010,"Adventure,Casual",1,1,0
1607870,"Action,Casual,Indie",0,0,0
553260,Strategy,365,215,150
453130,"Indie,Strategy",12,9,3
1508890,"Casual,Indie",1,0,1
3010,Racing,142,108,34
1297480,"Action,Casual,Indie,Strategy",0,0,0
1217830,"Adventure,Casual,Indie",85,85,0
628830,"Adventure,Casual,Indie,Simulation,Strategy",15,15,0
686440,"Action,Adventure,Indie,RPG,Simulation",131,113,18
521710,Strategy,0,0,0
1986310,"Adventure,Free to Play,Indie,RPG",0,0,0
1259660,"Adventure,Casual,Indie",0,0,0
108200,"Casual,Indie,Strategy",2044,1847,197
614150,"Action,Casual,Indie,Sports",6,6,0
1570340,"Action,Adventure",0,0,0
304970,"Animation & Modeling,Design & Illustration,Utilities",1,1,0
1630940,"Casual,Indie,Simulation",2,1,1
878520,"Adventure,Casual,Strategy",35,24,11
1927300,"Action,Casual,Indie,Simulation,Early Access",0,0,0
340630,"Action,Casual,Indie",22,8,14
704310,"Action,Indie",8,5,3
619150,"Indie,Simulation",2558,2286,272
1373890,"Action,Casual,Indie,Early Access",0,0,0
1869200,"Casual,Indie,Early Access",2,2,0
392030,"Action,Indie",28,25,3
605850,"Casual,Indie",0,0,0
441670,"Action,Adventure,Casual,Indie",102,73,29
962150,"RPG,Strategy",22,16,6
50990,"Adventure,Casual",58,53,5
648510,"Adventure,Indie,RPG",10,8,2
1071070,"Action,Adventure,Indie,Early Access",0,0,0
2011540,"Adventure,Free to Play,Indie,RPG",0,0,0
1761740,"Adventure,Indie",2,1,1
538700,"Action,Adventure,Casual,Indie,RPG,Sports",1,1,0
1564150,"Action,Adventure,Indie",6,6,0
726870,"Adventure,Indie",35,33,2
1074390,"Action,Adventure,Indie",2,2,0
1554780,"Adventure,Casual,Indie",0,0,0
1065750,"Adventure,Free to Play,Indie",0,0,0
714780,"Adventure,Free to Play",0,0,0
1321040,"Adventure,Casual,Indie",3,3,0
1204930,Casual,9,9,0
1588760,"Casual,Indie,Simulation",37,34,3
924740,"Action,Adventure,Indie,Strategy",7,2,5
416340,"Adventure,Casual,Simulation,Strategy",13,10,3
242610,"Action,Indie,Early Access",8,8,0
1168980,"Action,Adventure,Indie,Early Access",11,3,8
1277340,"Adventure,Racing",0,0,0
1233610,"Adventure,Casual,Indie,Simulation",5,1,4
302610,"Action,Indie",776,731,45
1638730,"Action,Adventure,Casual,Indie",0,0,0
1484150,Casual,1,1,0
922520,"Action,Adventure,Indie",1,1,0
1157200,Indie,2,2,0
1862100,Casual,2,2,0
2022020,"Action,Casual,Indie,Simulation,Strategy",2,1,1
1099400,Game Development,0,0,0
1604610,"Action,Casual,Free to Play,Indie,Massively Multiplayer,Early Access",0,0,0
503060,"Adventure,Casual",7,7,0
1275970,"Adventure,Indie,RPG,Strategy",5,2,3
847490,"Action,Casual,Indie",2,2,0
1101580,Simulation,274,196,78
201010,"Strategy,RPG,Indie",73,70,3
837610,"Sexual Content,Adventure,RPG,Strategy",306,263,43
1029870,"Adventure,Casual,Strategy",19,14,5
205690,"Adventure,Indie",104,81,23
632240,"Casual,Indie,Sports",0,0,0
898910,"Action,Indie,Early Access",11,11,0
1042930,"Action,Indie,Racing",3,3,0
109500,"Action,Indie",70,37,33
539290,Casual,38,18,20
1603600,"Indie,Massively Multiplayer,Simulation,Strategy",1,1,0
489100,"Casual,Indie,Racing,Early Access",7,6,1
1310620,"Action,Adventure,Indie,Strategy",0,0,0
740450,"Action,Adventure,Indie",1,1,0
1646090,"Action,Indie",14,14,0
448670,"Action,Casual,Indie,Simulation",52,31,21
1956110,"Casual,Free to Play,Indie,Simulation",0,0,0
542740,"Action,Casual",1,1,0
687980,"Free to Play,Indie,RPG",0,0,0
612120,"Nudity,Violent,Action,Adventure,Indie",12,7,5
1259000,"Free to Play,Indie,Massively Multiplayer,RPG",0,0,0
1380060,"Casual,Indie,Racing,Sports",2,0,2
814560,"Action,Casual,Indie",1,1,0
701100,"Free to Play,Simulation",0,0,0
1407060,"Adventure,Indie",9,9,0
1495860,"Casual,Indie",189,176,13
1126970,"Indie,Strategy",0,0,0
1639530,"Action,Adventure,Casual,Indie,Strategy",2,0,2
1995420,"Casual,Indie,Simulation",7,7,0
358000,"Action,Adventure,Indie",20,10,10
1856080,"Action,Indie",2,0,2
239430,"Action,Adventure,Indie",475,383,92
961490,Action,211,183,28
363500,"Adventure,Indie",23,20,3
286750,"Casual,Simulation,Strategy",61,40,21
388080,Utilities,1904,1655,249
1565630,"Action,Adventure,Casual,Indie",4,4,0
1751800,"Action,Adventure,Indie",0,0,0
